question,answer
Who caused the decline in influence of Buddhism?,Wuzong
Is Mewtwo taller than 7 feet?,No
What made conscripting soldiers every three years expensive for the early Tang dynasty?,Training new soldiers
Do different dialects of English share the same phonetics and phonology?,no
Did the literacy rate of Rajasthan double from 1991 to 2001?,No
Under who did the Liu Song economy prosper during the rule of Yuanjia?,Emperor Wen
What is the major economic feature of Punjab around 3000 BCE?,Agriculture
What is the name of the trainer who has a Psyduck and usually releases it by accident in the anime?,Misty.
Can Psyduck swim?,No
"Are more than 85,000 English words nouns?",Yes
Did the Gurjara-Pratihara dynasty rule in the 6th century CE?,no
How much time has elapsed between the First Battle of Tarain and the Second Battle of Tarain?,1 year
What reception has Venusaur received?,Positive Reception.
"In Pokémon Adventures, which evolution does Eevee ultimately take on?",Espeon
Is Khasi the official language of the state?,No
Where is the Tang Capital?,Chang'an
Does Bulbasaur like to take a nap in the sunshine?,Yes
Who was the successor to the emperor Ming?,emperor Houfei
Which constellation is to the south of Libra?,Lupus
Which chinese dynasty ruled between Xia dynasty and Western Zhou dynasty?,The Shang dynasty
Who ordered Yu the Great's father to be imprisoned for life?,Shun
Who became the ruler of Uttar Pradesh after Sher Shah's son died?,Hemu
When was the Shang settlement featuring most prominently sacrificial pits excavated?,Between 1989 and 2000.
What is the official language of Spain?,Spanish
Is Portuguese one of the West Iberian Romance languages?,Yes
What did eevee evolve into in the file  Detective Pikachu?,Flareon
Who was the second wife of Emperor Ku?,Jiandi
Who established the Han dynasty?,Liu Bang
"Who implemented the reforms that introduced the ""equal-field landholding system""?",Empress Dowager Feng
Does the Punjab region of India and Pakistan have a historical and cultural link to Americans?,No
When did English achieve Parity with French as a diplomatic language?,1919
What are the two official languages of Pakistan?,English and Urdu
Which state did King Solomon receive peacocks from?,Kerala
The basis of Standard High German developed with which book?,the Luther Bible
Does English have five primary tenses?,No
When was M74 discovered?,1780
"In Braj Kachru's three circle model, is Egypt in the inner circle?",No
Did Charmander’s personality change drastically?,Yes.
How much food grain was produced in Uttar Pradesh in 2014-15?,"47,773.4 thousand tonnes."
What was Eevee originally going to be named?,Eon
Could generals of Emperor Wen make independent decisions?,No
Is Pikachu a Nintendo mascot?,Yes.
When was the Galician-Portuguese period?,From the 12th to the 14th century
Who assasinated Emperor Yang?,His ministers
Is the rural female sex ratio higher than the urban female sex ratio in Meghalaya?,No
What does Squirtle wear in the Pokemon anime?,Black pointed sunglasses
Did Tanguturi Prakasam Pantulu become the Chief Minister after the unification with Telangana?,No
Are the Garos the largest group of tribal people making up the majority of Meghalaya's population?,No
How many native speakers speak the second most widely spoken scheduled language in India?,300 million
Do the northwestern districts of Madhya Pradesh have the heaviest rainfall?,No
Did Empress Wu enter the court with a high ranking position?,no
Where is the highest peak in West Bengal?,Sandakfu
Do students use Indonesian in school?,Yes
Did the Spring and Autumn period span 241 years?,Yes
Which constellation contains HD 20367?,Aries
Who led the Dutch fleet that first present in Kerala?,Steven van der Hagen
What was found in the Bundi and Bhilwara districts of Rajasthan?,Stone age Tools
"How many inhabitants, rounded to the closest million, in India's eighth-largest state by population in 2011?",61
Was Charizard designed based on Charmander?,No.
Who killed Emperor Yang?,General Yuwen Huaji
Is Saggitarius located between Microscopium and Capricornus?,No
Are there multiple types of Leonid showers?,Yes 
Does various Chinese classics include Shiji?,No
Puppeteers in London were hired to create 3D puppets of what?,Bulbasaur
What kind of students were candidates for imperial examinations in Tang dynasty?,confucian studies
Was Goguryeo one of the Three Kindoms of Korea?,Yes
Could More than half of the speakers understand the Standard Mandarin in early 1950s?,Yes
Why is Magikarp called Koiking?,The shape of the dorsal fin resembles a crown
Does jigglypuff only appear in a couple of games?,no
Who wrote a Bengali poem that inspired the national anthem of Sri Lanka?,Rabindranath Tagore
Is Virgo the largest constellation in the zodiac?,Yes
Can architecture from the Pallava dynasty still be visited today?,Yes 
What is the Latin word for weighing scales?,Libra
Where was Eevee's first anime appearance?,The Battling Eevee Brothers
Who had greater ambitions in contrast to other Wang family members?,Wang Mang.
What period of English came after Middle English?,Early Modern English
"According to Richard M. Eaton, who is the father of Khizr Khan?",Punjabi chieftain
When did French replace Latin as the most important language for diplomacy?,During the 17th.
Does Eevee have small ears?,No
What are the top two most spoken native languages in the world?,Standard Chinese and Spanish
Is the bulb on Bulbasaur's back for collecting water?,No.
Is the Geminids the only meteor shower in Gemini?,No.
Did Psyduck appear in Pokémon Pink?,No
Who was the last Shang king?,Di Xin
Can Cancer be seen by the naked eye?,no
Is Wang Yu's birthplace known as Chengcheng in modern days?,Yes
Are there any stars from Aries recognized in traditional Chines astronomy?,Yes
What two months do Leonid showers occur?,November and January
Russian is written using what alphabet?,Cyrillic
Was there any Tuoba Xianbei princesses of the Northern Wei married to southern Han Chinese men from the imperial families?,Yes.
Who is the namesake of the Liu Song dynasty?,Liu Yu
Did the Mughals take control of the Punjab region from the Mughals?,No
In 2018	 what percent of the nation of Vanuatu was estimated to speak French?,31
What is the state capital of West Bengal?,Kolkata
Is Meghalaya the driest state of India?,No
Cancer is one of how many constellations in the zodiac?,12
Is português continental based on the Portuguese spoken in the area including and surrounding the cities of Coimbra and Lisbon?,Yes
What constellation was once considered Scorpion's claws?,Libra
Which actor voices Charizard?,Shin-ichiro Miki
Does Leo contain the galaxy Messier 98?,No
When did the Dai state fall to Former Qin?,376
Which Pokemon has stayed with Ash longer than Bulbasaur?,Pikachu.
Does the Other Backward Class population constitute more than half of the population of Maharashtra?,No
What is the period of the U Scorpii nova?,10 years
What constellation is to the east of Scorpius?,Sagittarius.
Which equinox is currently located in Pisces?,March
How did Hou Jing die?,killed by his own men
When did Indonesia declare independence? ,1945
Is Eevee popular with Pokemon fans?,Yes
Whose death caused the War of the Eight Princes?,Emperor Wu
"Is ""youse"" a first person pronoun?",No
When did Li Yuan rise in rebellion?,617
What is the official language of Maharashtra?,Marathi
Was Jin dynasty succeeded by the Three Kingdoms period?,No
Who designed Mewtwo for the first generation of Pocket Monsters games?,Ken Sugimori
What color is Magikarp?,Red
What does swelling up in size do to help Green?,It allows them to float and act as an obstruction to help escape the Masked Man
When does summer begin in Maharashtra?,March
How was the Quran written?,In a simple and understandable format
"In the anime, did Magikarp only appeared once?",No
What did the Babylonians identify Sagittarius as?,The god Nergal
Who defeated the Zamorin of Kozhikode in 1443?,Deva Raya II
"Alternatively, what was the Liang dynasty known as?",Southern Liang
Who was responsible for the death of Emperor Shun?,Xiao Daocheng
What are the top two most-spoken languages in the world?,Mandarin and English
Is Portuguese official language of Mozambique?,Yes
Do most Indonesians only speak the national language?,No
Does England set the standard for use of English?,No
Is Mewtwo taller than 6 foot?,Yes
Did Motofumi Fujiwara design vaporeon?,No
When was Abu al-Aswad al-Du'ali born?,603
"According to Tracey West and Katherine Noll, how many Pokémon are better than Mewto overall?",five
What evolves into Jigglypuff?,Igglybuff
Which pokemon did Kevin Slackie say was the first one most of the one they fell with?,Charizard 
Did the Sui dynasty conquer the rump state of Western Liang in 487?,No
What was Eevee originally going to be named?,Eon
How many Mahajan padas existed in ancient India?,Sixteen
Did Emperors Yang send military expeditions into Vietnam?,Yes.
Is Taurus in the Northern Hemisphere's winter sky?,Yes
